taxonKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
160853272,75710,Senecio squalidus L.,ACCEPTED,3109117,Senecio squalidus L.,SPECIES,Plantae
160853273,75711,Senecio vulgaris L.,ACCEPTED,3108983,Senecio vulgaris L.,SPECIES,Plantae
160853274,75706,Senecio helwingii Beger ex Hegi,SYNONYM,4221116,Senecio ×pseudovernalis (Zabel) Nyman,SPECIES,Plantae
160853275,75707,Senecio inaequidens DC.,ACCEPTED,3109086,Senecio inaequidens DC.,SPECIES,Plantae
160853276,75680,Schkuhria pinnata (Lam.) Kuntze,ACCEPTED,8346536,Schkuhria pinnata (Lam.) Kuntze,SPECIES,Plantae
160853277,75520,Psephellus dealbatus (Willd.) C.Koch,,,Psephellus dealbatus (Willd.) C.Koch,,
160853278,75419,Petasites japonicus (Siebold & Zucc.) Maxim.,ACCEPTED,3088310,Petasites japonicus (Siebold & Zucc.) Maxim.,SPECIES,Plantae
160853279,75334,Onopordum acanthium L.,ACCEPTED,3094900,Onopordum acanthium L.,SPECIES,Plantae
160853280,75169,Madia sativa Molina,ACCEPTED,3140910,Madia sativa Molina,SPECIES,Plantae
160853281,75192,Matricaria discoidea DC.,ACCEPTED,3103791,Matricaria discoidea DC.,SPECIES,Plantae
160853282,75191,Matricaria chamomilla L.,ACCEPTED,8370958,Matricaria chamomilla L.,SPECIES,Plantae
160853283,75186,Mantisalca salmantica Briq. & Cavill.,ACCEPTED,3141571,Mantisalca salmantica (L.) Briq. & Cavill.,SPECIES,Plantae
160853284,75052,Lactuca tatarica C.A.Mey.,ACCEPTED,9123250,Lactuca tatarica (L.) C.A.Mey.,SPECIES,Plantae
160853285,75053,Lactuca virosa L.,ACCEPTED,3140346,Lactuca virosa L.,SPECIES,Plantae
160853286,75050,Lactuca sativa L.,ACCEPTED,7403263,Lactuca sativa L.,SPECIES,Plantae
160853287,75051,Lactuca serriola L.,ACCEPTED,3140490,Lactuca serriola L.,SPECIES,Plantae
160853288,75068,Lapsana communis subsp. communis,ACCEPTED,7223198,Lapsana communis subsp. communis,SUBSPECIES,Plantae
160853289,75067,Lapsana communis L.,ACCEPTED,3134857,Lapsana communis L.,SPECIES,Plantae
160853290,75030,Inula helenium L.,ACCEPTED,3148340,Inula helenium L.,SPECIES,Plantae
