taxonKey,taxonID,scientificName,kingdom,taxonRank
160883942,86723,"Eriocheir sinensis H.Milne Edwards, 1853",Animalia,SPECIES
160883943,86880,Oenothera glazioviana Micheli,Plantae,SPECIES
160883945,86881,Oenothera parviflora L.,Plantae,SPECIES
160883946,86610,"Callinectes sapidus Rathbun, 1896",Animalia,SPECIES
160883952,87098,Viburnum rhytidophyllum Hemsl. ex Forbes & Hemsl.,Plantae,SPECIES
160883953,87097,"Verruca spengleri Darwin, 1854",Animalia,SPECIES
9802456,86580,"Perforatus perforatus (Bruguière, 1789)",Animalia,SPECIES
160883958,86695,Dipsacus strigosus Willd.,Plantae,SPECIES
6467647,86579,"Amphibalanus improvisus (Darwin, 1854)",Animalia,SPECIES
160883961,86545,"Amphibalanus amphitrite (Darwin, 1854)",Animalia,SPECIES
160883964,86791,Impatiens glandulifera Royle,Plantae,SPECIES
160883966,86790,Impatiens balsamina L.,Plantae,SPECIES
160883968,86792,Impatiens parviflora DC.,Plantae,SPECIES
160883969,86850,"Microsetella rosea (Dana, 1847)",Animalia,SPECIES
160883972,86675,Cyclamen purpurascens Mill.,Plantae,SPECIES
160883973,86738,"Euterpina acutifrons (Dana, 1847)",Animalia,SPECIES
160883978,86943,"Pontella mediterranea (Claus, 1863)",Animalia,SPECIES
160883980,86966,Quercus rubra L.,Plantae,SPECIES
160883982,86627,Castanea sativa Mill.,Plantae,SPECIES
160883983,86868,"Neocalanus gracilis (Dana, 1852)",Animalia,SPECIES
160883984,86847,"Mesocalanus tenuicornis (Dana, 1849)",Animalia,SPECIES
160883987,86802,Juglans nigra L.,Plantae,SPECIES
160883988,86669,"Ctenocalanus vanus Giesbrecht, 1888",Animalia,SPECIES
160883989,86803,Juglans regia L.,Plantae,SPECIES
160883991,86801,Juglans cinerea L.,Plantae,SPECIES
160883992,86901,"Paracalanus aculeatus Giesbrecht, 1888",Animalia,SPECIES
160883993,86626,Carya ovata (Mill.) K.Koch,Plantae,SPECIES
160883994,86902,"Paracalanus nanus Sars G.O., 1925",Animalia,SPECIES
160883996,86836,"Mecynocera clausi Thompson I.C., 1888",Animalia,SPECIES
160883998,86614,"Calocalanus pavoninus Farran, 1936",Animalia,SPECIES
160883999,86615,"Calocalanus plumulosus (Claus, 1863)",Animalia,SPECIES
160884000,86607,Cabomba caroliniana A.Gray,Plantae,SPECIES
160884001,86616,"Calocalanus tenuis Farran, 1926",Animalia,SPECIES
160884003,86612,"Clausocalanus arcuicornis (Dana, 1849)",Animalia,SPECIES
160884005,86613,"Calocalanus pavo (Dana, 1852)",Animalia,SPECIES
160884006,87073,Thladiantha dubia Bunge,Plantae,SPECIES
160884008,87024,Sicyos angulatus L.,Plantae,SPECIES
160884010,86704,Echinocystis lobata (Michx.) Torr. & A.Gray,Plantae,SPECIES
160884011,86882,"Oithona davisae Ferrari F.D. & Orsi, 1984",Animalia,SPECIES
160884012,86671,Cucurbita pepo L.,Plantae,SPECIES
160884014,86645,Citrullus lanatus (Thunb.) Matsum. & Nakai,Plantae,SPECIES
160884015,87081,"Triconia dentipes (Giesbrecht, 1891)",Animalia,SPECIES
160884016,86605,Bryonia cretica L.,Plantae,SPECIES
160884017,87082,"Triconia minuta (Giesbrecht, 1893)",Animalia,SPECIES
160884019,86883,"Oncaea mediterranea (Claus, 1863)",Animalia,SPECIES
160884022,87114,Ziziphus jujuba Mill.,Plantae,SPECIES
160884023,87090,"Urocorycaeus furcifer (Claus, 1863)",Animalia,SPECIES
160884025,86663,"Corycaeus clausi Dahl F., 1894",Animalia,SPECIES
160884027,87087,Ulmus pumila L.,Plantae,SPECIES
160884028,86511,"Agetus flaccus (Giesbrecht, 1891)",Animalia,SPECIES
160884031,87091,Urtica pilulifera L.,Plantae,SPECIES
160884035,86708,Elaeagnus angustifolia L.,Plantae,SPECIES
160884036,86963,"Psyllipsocus ramburii Selys-Longchamps, 1872",Animalia,SPECIES
160884040,86706,"Ectopsocus meridionalis Ribaga, 1904",Animalia,SPECIES
160884041,86953,Prunus cerasus L.,Plantae,SPECIES
160884045,86830,Malus domestica (Suckow) Borkh.,Plantae,SPECIES
160884047,87051,Sorbaria sorbifolia (L.) A.Braun,Plantae,SPECIES
9038042,86942,Acontia candefacta (Hübner),Animalia,SPECIES
160884049,87057,Spiraea hypericifolia L.,Plantae,SPECIES
160884051,87058,Spiraea japonica L.fil.,Plantae,SPECIES
9776414,87023,"Acharia stimulea (Clemens, 1860)",Animalia,SPECIES
160884053,86987,Rubus phoenicolasius Maxim.,Plantae,SPECIES
160884054,86855,"Monema flavescens Walker, 1855",Animalia,SPECIES
160884055,86956,Prunus persica (L.) Stokes,Plantae,SPECIES
160884057,86957,Prunus serotina Ehrh.,Plantae,SPECIES
160884058,86780,"Hyphantria cunea (Drury, 1773)",Animalia,SPECIES
160884059,86949,Potentilla indica (Andrews) Th.Wolf,Plantae,SPECIES
5365717,86698,Potentilla indica (Andrews) Th.Wolf,Plantae,SPECIES
160884062,86676,"Cydalima perspectalis (Walker, 1859)",Animalia,SPECIES
160884063,86951,Prunus armeniaca L.,Plantae,SPECIES
160884065,86952,Prunus cerasifera Ehrh.,Plantae,SPECIES
160884066,86904,"Parectopa robiniella Clemens, 1863",Animalia,SPECIES
160884067,86954,Prunus domestica L.,Plantae,SPECIES
160884068,86923,"Phyllonorycter issikii (Kumata, 1963)",Animalia,SPECIES
3020980,86955,Prunus amygdalus Batsch,Plantae,SPECIES
160884070,86924,"Phyllonorycter platani (Staudinger, 1870)",Animalia,SPECIES
160884071,86985,Rosa rugosa Thunb.,Plantae,SPECIES
8741260,86925,"Macrosaccus robiniella (Clemens, 1859)",Animalia,SPECIES
160884074,86984,Rosa foetida Herrm.,Plantae,SPECIES
160884075,86618,"Cameraria ohridella Deschka & Dimić, 1986",Animalia,SPECIES
160884076,86848,Mespilus germanica L.,Plantae,SPECIES
160884078,86745,Fragaria ×ananassa (Weston) Rozier,Plantae,SPECIES
160884079,86558,"Argyresthia thuiella Packard, 1871",Animalia,SPECIES
160884080,86677,Cydonia oblonga Mill.,Plantae,SPECIES
160884085,87092,"Uscana johnstoni (Waterston, 1926)",Animalia,SPECIES
160884086,86776,Humulus scandens (Lour.) Merr.,Plantae,SPECIES
160884088,86631,Celtis occidentalis L.,Plantae,SPECIES
160884089,87011,"Sceliphron curvatum (F.Smith, 1870)",Animalia,SPECIES
160884090,86630,Celtis australis L.,Plantae,SPECIES
160884091,87010,"Sceliphron caementarium (Drury, 1773)",Animalia,SPECIES
160884092,86620,Cannabis sativa L.,Plantae,SPECIES
160884095,86867,"Nematus tibialis Newman, 1837",Animalia,SPECIES
160884096,86858,Morus alba L.,Plantae,SPECIES
160884098,86859,Morus nigra L.,Plantae,SPECIES
160884099,86841,"Megastigmus spermotrophus Wachtl, 1893",Animalia,SPECIES
160884100,86826,Maclura pomifera (Raf. ex Sarg.) C.K.Schneid.,Plantae,SPECIES
160884102,87070,"Tapinoma melanocephalum (Fabricius, 1793)",Animalia,SPECIES
