taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
160912272,5376692,CH,present,introduced,,,,
160912273,5377060,CH,present,introduced,,,,
160912274,5377064,CH,present,introduced,,,,
160912275,5377303,CH,present,introduced,invasive,,,
160912276,5551241,CH,present,introduced,,,,
160912277,3048203,CH,present,introduced,,,,
160912278,3048166,CH,present,introduced,,,,
160912279,3049314,CH,present,introduced,,,,
160912280,5376309,CH,present,introduced,,,,
160912281,7903057,CH,present,introduced,,,,
160912282,3042636,CH,present,introduced,,,,
160912283,3042751,CH,present,introduced,,,,
160912284,3042845,CH,present,introduced,,,,
160912285,3042658,CH,present,introduced,,,,
160912286,3050364,CH,present,introduced,,,,
160912287,5377778,CH,present,introduced,,,,
160912288,3054117,CH,present,introduced,,,,
160912289,3041022,CH,present,introduced,,,,
160912290,5374998,CH,present,introduced,,,,
3045113,3045063,CH,present,introduced,,,,
160912294,5384307,CH,present,introduced,,,,
8359411,4192546,CH,present,introduced,invasive,,,
160912298,3084015,CH,present,introduced,,,,
7282635,5384110,CH,present,introduced,,,,
160912302,5384047,CH,present,introduced,,,,
8848208,6391908,CH,present,introduced,invasive,,,
2889173,5334357,CH,present,introduced,invasive,,,
2889088,5334293,CH,present,introduced,invasive,,,
160912310,2889019,CH,present,introduced,,,,
160912311,6391417,CH,present,introduced,,,,
160912312,2888946,CH,present,introduced,,,,
160912313,4037603,CH,present,introduced,,,,
160912314,2888867,CH,present,introduced,,,,
160912315,2889229,CH,present,introduced,,,,
160912316,5334351,CH,present,introduced,,,,
160912317,2889378,CH,present,introduced,,,,
160912318,2889373,CH,present,introduced,,,,
160912320,5384774,CH,present,introduced,,,,
160912321,5384818,CH,present,introduced,,,,
160912322,5384458,CH,present,introduced,,,,
160912323,3085420,CH,present,introduced,,,,
160912324,3085421,CH,present,introduced,,,,
160912325,7267365,CH,present,introduced,,,,
160912327,3085438,CH,present,introduced,,,,
160912329,5568446,CH,present,introduced,,,,
7507099,3083854,CH,present,introduced,,,,
160912331,3083921,CH,present,introduced,,,,
160912332,8971274,CH,present,introduced,,,,
160912333,3083761,CH,present,introduced,,,,
160912334,5383936,CH,present,introduced,,,,
160912335,5384390,CH,present,introduced,,,,
160912336,5384396,CH,present,introduced,,,,
160912337,8911082,CH,present,introduced,,,,
160912338,6109611,CH,present,introduced,,,,
160912339,6109534,CH,present,introduced,,,,
160912340,5384373,CH,present,introduced,,,,
160912341,9080185,CH,present,introduced,,,,
160912342,7905507,CH,present,introduced,,,,
160912344,3190715,CH,present,introduced,,,,
160912347,3190538,CH,present,introduced,invasive,,,
160912349,3190653,CH,present,introduced,invasive,,,
160912351,3189866,CH,present,introduced,,,,
160912354,5331189,CH,present,introduced,,,,
160912356,2873896,CH,present,introduced,,,,
160912357,4048802,CH,present,introduced,,,,
160912358,2873861,CH,present,introduced,,,,
160912360,3189497,CH,present,introduced,,,,
160912362,3067891,CH,present,introduced,,,,
160912363,3070346,CH,present,introduced,,,,
160912364,3067119,CH,present,introduced,,,,
160912365,3066965,CH,present,introduced,,,,
160912366,3067869,CH,present,introduced,,,,
160912367,3067054,CH,present,introduced,,,,
160912368,3069469,CH,present,introduced,,,,
160912369,3056055,CH,present,introduced,,,,
160912372,4259350,CH,present,introduced,,,,
160912373,3152377,CH,present,introduced,,,,
160912374,3152560,CH,present,introduced,,,,
160912375,3152520,CH,present,introduced,,,,
160912376,3152614,CH,present,introduced,,,,
