taxonKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
163433539,105097,Setaria viridis (L.) P.Beauv.,ACCEPTED,5289684,Setaria viridis (L.) P.Beauv.,SPECIES,Plantae
163433554,105102,Symphytum officinale var. bohemicum (F.W.Schmidt) Celak.,HOMOTYPIC_SYNONYM,4067581,Symphytum bohemicum F.W.Schmidt,SPECIES,Plantae
163433555,105104,Symphytum uplandicum Nyman,ACCEPTED,2926068,Symphytum ×uplandicum Nyman,SPECIES,Plantae
163433557,105103,Symphytum officinale var. officinale,,,Symphytum officinale var. officinale,,
163433562,105089,Ribes uva-crispa L.,ACCEPTED,2986185,Ribes uva-crispa L.,SPECIES,Plantae
163433568,105090,Rorippa sylvestris Besser,ACCEPTED,3053376,Rorippa sylvestris (L.) Besser,SPECIES,Plantae
163433573,105094,Sambucus racemosa L.,ACCEPTED,2888723,Sambucus racemosa L.,SPECIES,Plantae
163433578,105092,"Salvelinus fontinalis (Mitchill, 1814)",ACCEPTED,2351271,"Salvelinus fontinalis (Mitchill, 1814)",SPECIES,Animalia
163433581,105093,"Salvelinus namaycush (Walbaum, 1792)",ACCEPTED,2351327,"Salvelinus namaycush (Walbaum, 1792)",SPECIES,Animalia
163433600,105105,"Telmatogeton japonicus Tokunaga, 1933",ACCEPTED,1450317,"Telmatogeton japonicus Tokunaga, 1933",SPECIES,Animalia
163433642,105101,Sorbaria sorbifolia (L.) A.Braun,ACCEPTED,3012089,Sorbaria sorbifolia (L.) A.Braun,SPECIES,Plantae
163433643,105091,Rosa rugosa Thunb.,ACCEPTED,3003979,Rosa rugosa Thunb.,SPECIES,Plantae
163433647,105095,Senecio cannabifolius Less.,SYNONYM,5388606,Jacobaea cannabifolia (Less.) E.Wiebe,SPECIES,Plantae
163433648,105098,Solidago altissima L.,ACCEPTED,5389058,Solidago altissima L.,SPECIES,Plantae
163433649,105100,Solidago gigantea Aiton,ACCEPTED,5389017,Solidago gigantea Aiton,SPECIES,Plantae
163433650,105099,Solidago canadensis L.,ACCEPTED,5389029,Solidago canadensis L.,SPECIES,Plantae
163433657,105106,Thuja plicata Donn ex D.Don,ACCEPTED,2684171,Thuja plicata Donn ex D.Don,SPECIES,Plantae
