taxonKey,nubKey,taxonID,scientificName,acceptedKey,accepted,kingdom,taxonRank
163316104,3046258,176154,Cardamine hirsuta L.,,,Plantae,species
163316106,3042439,176149,Camelina rumelica Velen.,,,Plantae,species
163316107,2087616,176094,"Aulacaspis yasumatsui Takagi, 1977",,,Animalia,species
163316108,3042416,176148,Camelina microcarpa Andrz. ex DC.,,,Plantae,species
163316109,5161787,176084,"Aspidiotus nerii Bouche, 1833",,,Animalia,species
163316110,3042399,176147,Camelina alyssum (Mill.) Thell.,,,Plantae,species
163316111,5375425,176152,Capsella rubella Reut.,,,Plantae,species
163316113,5375388,176151,Capsella bursa-pastoris (L.) Medik.,,,Plantae,species
163316114,2049747,176014,"Adelges nordmannianae (Eckstein, 1890)",,,Animalia,species
163316115,9073641,176150,Camelina sativa (L.) Crantz,,,Plantae,species
163316117,3048782,176142,Calepina irregularis (Asso) Thell.,,,Plantae,species
163316118,3040913,176212,Conringia orientalis (L.) Dumort.,,,Plantae,species
163316120,3044349,176197,Chorispora tenella (Pall.) DC.,,,Plantae,species
163316122,3049836,176257,Draba muralis L.,,,Plantae,species
163316124,3044318,176243,Descurainia sophia (L.) Webb ex Prantl,,,Plantae,species
163316126,5376357,176251,Diplotaxis viminea (L.) DC.,,,Plantae,species
163316127,5376426,176250,Diplotaxis tenuifolia (L.) DC.,,,Plantae,species
163316128,2069572,176623,"Rhopalosiphum maidis (Fitch, 1856)",,,Animalia,species
163316129,5376337,176249,Diplotaxis muralis (L.) DC.,,,Plantae,species
163316130,2071999,176621,"Rhodobium porosum (Sanderson, 1900)",,,Animalia,species
163316131,3051652,176313,Fibigia clypeata (L.) Medik.,,,Plantae,species
163316132,2075500,176521,"Panaphis juglandis (Goeze, 1778)",,,Animalia,species
163316133,3048266,176290,Erysimum cheiranthoides L.,,,Plantae,species
163316134,3048166,176291,Erysimum repandum L.,,,Plantae,species
163316135,2076239,176486,"Myzus ascalonicus Doncaster, 1946",,,Animalia,species
163316136,3049314,176293,Euclidium syriacum (L.) W.T.Aiton,,,Plantae,species
163316137,2076179,176488,"Myzus persicae (Sulzer, 1776)",,,Animalia,species
163316138,3042291,176370,Hesperis matronalis L.,,,Plantae,species
163316139,2076228,176487,"Myzus ornatus Laing, 1932",,,Animalia,species
163316140,5376994,176427,Lepidium graminifolium L.,,,Plantae,species
163316141,2076248,176489,"Myzus varians Davidson, 1912",,,Animalia,species
163316142,5376692,176428,Lepidium latifolium L.,,,Plantae,species
163316143,7703116,176426,Lepidium campestre (L.) W.T.Aiton,,,Plantae,species
163316144,2077747,176450,"Macrosiphum euphorbiae (Thomas, 1878)",,,Animalia,species
163316145,5374118,176392,Isatis tinctoria L.,,,Plantae,species
163316146,2074978,176449,"Macrosiphoniella sanborni (Gillette, 1908)",,,Animalia,species
163316147,8139063,176452,Malcolmia africana (L.) R.Br.,,,Plantae,species
163316148,2075983,176287,"Eriosoma lanigerum (Hausmann, 1802)",,,Animalia,species
163316149,5376565,176431,Lepidium sativum L.,,,Plantae,species
163316150,2076486,176179,"Chaetosiphon fragaefolii (Cockerell, 1901)",,,Animalia,species
163316151,5376816,176429,Lepidium perfoliatum L.,,,Plantae,species
163316152,2072761,176066,"Aphis spiraecola Patch, 1914",,,Animalia,species
163316153,5376616,176430,Lepidium ruderale L.,,,Plantae,species
163316154,2072331,176065,"Aphis forbesi Weed, 1889",,,Animalia,species
163316155,3047811,176482,Myagrum perfoliatum L.,,,Plantae,species
163316156,3047598,176671,Sinapis arvensis L.,,,Plantae,species
163316157,2077518,176013,"Acyrthosiphon caraganae (Cholodkovsky, 1908)",,,Animalia,species
163316158,3046736,176672,Sisymbrium altissimum L.,,,Plantae,species
163316160,3046875,176674,Sisymbrium loeselii L.,,,Plantae,species
163316162,3046851,176673,Sisymbrium irio L.,,,Plantae,species
163316163,7501381,176775,"Xylographus bostrychoides (Dufour, 1843)",,,Animalia,species
163316164,3046812,176676,Sisymbrium orientale L.,,,Plantae,species
163316165,3046890,176675,Sisymbrium officinale (L.) Scop.,,,Plantae,species
163316167,5373368,176612,Rapistrum rugosum (L.) All.,,,Plantae,species
163316168,4463518,176622,"Rhopalapion longirostre (Olivier, 1807)",,,Animalia,species
163316169,3040983,176608,Raphanus raphanistrum L.,,,Plantae,species
163316171,5373365,176611,Rapistrum perenne (L.) All.,,,Plantae,species
163316174,4291553,176679,"Sitophilus zeamais Motschulsky & V.de, 1855",,,Animalia,species
163316177,3039423,176777,Ziziphus jujuba Mill.,,,Plantae,species
163316181,5670646,176735,Urtica pilulifera L.,,,Plantae,species
163316182,5361815,176736,Urtica urens L.,,,Plantae,species
163316183,1095783,176603,"Ptinus tectus Boieldieu, 1856",,,Animalia,species
163316184,5361801,176527,Parietaria judaica L.,,,Plantae,species
163316186,5361803,176528,Parietaria officinalis L.,,,Plantae,species
163316187,1161902,176493,"Necrobia rufipes (Fabricius, 1781)",,,Animalia,species
163316190,3039269,176270,Elaeagnus angustifolia L.,,,Plantae,species
163316191,1043875,176514,"Oryzaephilus surinamensis (Linnaeus, 1758)",,,Animalia,species
163316192,3039272,176271,Elaeagnus multiflora Thunb.,,,Plantae,species
163316195,4998194,176411,"Lasioderma serricorne Fabricius, 1792",,,Animalia,species
163316196,2984535,176376,Humulus lupulus L.,,,Plantae,species
163316198,7141679,176163,Celtis tournefortii Lam.,,,Plantae,species
163316199,4989904,176364,"Harmonia axyridis (Pallas, 1773)",,,Animalia,species
163316202,5361888,176478,Morus nigra L.,,,Plantae,species
163316203,4453163,176351,"Glischrochilus quadrisignatus (Say, 1835)",,,Animalia,species
163316204,5361889,176477,Morus alba L.,,,Plantae,species
163316205,1044111,176160,"Carpophilus hemipterus (Linnaeus, 1758)",,,Animalia,species
163316206,5361909,176315,Ficus carica L.,,,Plantae,species
163316207,1044114,176159,"Carpophilus dimidiatus (Fabricius, 1792)",,,Animalia,species
163316208,5361944,176131,Broussonetia papyrifera (L.) L'Hér. ex Vent.,,,Plantae,species
163316211,8025874,176069,"Araecerus coffeae (J.C.Fabricius, 1802)",,,Animalia,species
163316215,1095979,176731,"Trogoderma granarium Everts, 1898",,,Animalia,species
163316216,3003979,176628,Rosa rugosa Thunb.,,,Plantae,species
