taxonKey,nubKey,taxonID,scientificName,acceptedKey,accepted,kingdom,taxonRank
148693596,2227300,20907,"Procambarus clarkii (Girard, 1852)",,,Animalia,
148693597,5384309,20518,Aptenia cordifolia (L.fil.) Schwant.,148693595,Mesembryanthemum cordifolium L.f.,Plantae,
148693599,3084842,20563,Carpobrotus edulis N.E.Br.,,,Plantae,
148693600,2225783,20867,"Percnon gibbesi (H.Milne Edwards, 1853)",,,Animalia,
148693604,4644973,20882,"Pilumnopeus vauquelini (Audouin, 1826)",,,Animalia,
148693605,8904738,20736,Kochia scoparia (L.) Schrad.,201365306,Bassia scoparia (L.) A.J.Scott,Plantae,
148693607,2223416,20863,"Penaeus semisulcatus de Haan, 1844",,,Animalia,
148693608,3083647,20995,Spinacia oleracea L.,,,Plantae,
148693609,3760713,20598,Chenopodium acuminatum Willd.,,,Plantae,
148693610,2223754,20799,"Metapenaeus monoceros (Fabricius, 1798)",,,Animalia,
148693611,2223595,20798,"Metapenaeopsis aegyptia Galil & Golani, 1990",,,Animalia,
148693612,2223427,20786,"Marsupenaeus japonicus (Bate, 1888)",,,Animalia,
148693613,3083838,20599,Chenopodium album L.,,,Plantae,
148693614,7695859,20600,Chenopodium ambrosioides Bert.,,,Plantae,
148693615,2223717,20682,"Fenneropenaeus indicus (H.Milne Edwards, 1837)",,,Animalia,
148693616,3083941,20601,Chenopodium strictum Roth,,,Plantae,
148693618,7219488,20534,Bassia scoparia subsp. scoparia,,,Plantae,
148693619,5568213,20533,Bassia indica (Wight) A.J.Scott,,,Plantae,
148693620,4307290,21024,"Thalamita poissonii (Audouin, 1826)",,,Animalia,
148693621,5178585,20901,"Portunus pelagicus Linnaeus, 1758",,,Animalia,
148693622,5568301,20735,Kochia indica Wight,148693619,Bassia indica (Wight) A.J.Scott,Plantae,
148693623,5384395,20485,Amaranthus blitoides S.Watson,,,Plantae,
148693624,5863622,20902,"Portunus segnis (Forsk̴l, 1775)",,,Animalia,
148693625,2225632,20596,"Charybdis hellerii (A.Milne-Edwards, 1867)",,,Animalia,
148693626,2225631,20597,"Charybdis longicollis Leene, 1938",,,Animalia,
