taxonKey,taxonID,scientificName,kingdom,taxonRank
160851491,74495,"Cervus elaphus canadensis Erxleben, 1777",Animalia,SUBSPECIES
160851492,74497,"Cervus nippon Temminck, 1838",Animalia,SPECIES
160851494,74496,"Cervus elaphus Linnaeus, 1758",Animalia,SPECIES
160851495,74660,Cypripedium reginae Walter,Plantae,SPECIES
160851498,75641,"Rupicapra rupicapra (Linnaeus, 1758)",Animalia,SPECIES
160851499,75749,Sisyrinchium montanum Greene,Plantae,SPECIES
160851500,75359,"Ovis aries Linnaeus, 1758",Animalia,SPECIES
160851501,75034,Iris pallida Lam.,Plantae,SPECIES
6165157,75360,"Ovis aries musimon (Pallas, 1811)",Animalia,SUBSPECIES
160851503,74210,"Ammotragus lervia (Pallas, 1777)",Animalia,SPECIES
160851504,75033,Iris ×germanica L.,Plantae,SPECIES
160851506,74629,Crocus chrysanthus (Herb.) Herb.,Plantae,SPECIES
160851508,74628,Crocosmia ×crocosmiiflora (Lemoine) N.E.Br.,Plantae,SPECIES
160851510,74632,Crocus vernus (L.) Hill,Plantae,SPECIES
160851511,75581,"Rhynchotus rufescens (Temminck, 1815)",Animalia,SPECIES
160851512,74630,Crocus flavus Weston,Plantae,SPECIES
160851514,74631,Crocus sativus L.,Plantae,SPECIES
160851516,74416,"Callonetta leucophrys (Vieillot, 1816)",Animalia,SPECIES
160851518,74147,"Aix sponsa (Linnaeus, 1758)",Animalia,SPECIES
160851519,75686,Scilla siberica Andrews,Plantae,SPECIES
160851521,75685,Scilla sardensis (Whittall ex Barr & Sugden) Speta,Plantae,SPECIES
160851523,75684,Scilla luciliae (Boiss.) Speta,Plantae,SPECIES
160851524,75296,"Numida meleagris (Linnaeus, 1758)",Animalia,SPECIES
160851525,75683,Scilla forbesii (Baker) Speta,Plantae,SPECIES
160851527,74414,"Callipepla californica (Shaw, 1798)",Animalia,SPECIES
160851528,75682,Scilla amoena L.,Plantae,SPECIES
160851530,75487,Polygonatum biflorum (Walter) Elliott,Plantae,SPECIES
160851531,75826,"Syrmaticus reevesii (J.E.Gray, 1829)",Animalia,SPECIES
160851532,75539,Puschkinia scilloides Adams,Plantae,SPECIES
160851533,75407,"Pavo cristatus Linnaeus, 1758",Animalia,SPECIES
160851534,75345,Ornithogalum nutans L.,Plantae,SPECIES
160851535,75144,"Lophura nycthemera (Linnaeus, 1758)",Animalia,SPECIES
160851536,75252,Muscari botryoides (L.) Mill.,Plantae,SPECIES
160851537,75206,"Meleagris gallopavo Linnaeus, 1758",Animalia,SPECIES
160851538,75251,Muscari armeniacum H.J.Veitch,Plantae,SPECIES
160851539,74534,"Chrysolophus pictus (Linnaeus, 1758)",Animalia,SPECIES
160851540,74993,Hosta plantaginea (Lam.) Asch.,Plantae,SPECIES
160851541,74157,"Alectoris graeca (Meisner, 1804)",Animalia,SPECIES
160851542,74997,Hyacinthoides hispanica (Mill.) Rothm.,Plantae,SPECIES
160851543,74158,"Alectoris rufa (Linnaeus, 1758)",Animalia,SPECIES
160851544,74156,"Alectoris chukar (J.E.Gray, 1830)",Animalia,SPECIES
160851545,74996,Hyacinthella leucophaea (K.Koch) Schur,Plantae,SPECIES
160851547,74584,Convallaria majalis L.,Plantae,SPECIES
160851548,74292,Asparagus officinalis L.,Plantae,SPECIES
160851552,75507,"Proterorhinus marmoratus (Pallas, 1814)",Animalia,SPECIES
160851553,75269,Narcissus poeticus L.,Plantae,SPECIES
160851555,75270,Narcissus pseudonarcissus L.,Plantae,SPECIES
160851556,75234,"Micropterus salmoides (Lacepède, 1802)",Animalia,SPECIES
160851557,74166,Allium ramosum L.,Plantae,SPECIES
160851559,74165,Allium paradoxum (M.Bieb.) G.Don,Plantae,SPECIES
