taxonKey,nubKey,taxonID,scientificName,acceptedKey,accepted,kingdom,taxonRank
160883684,5298086,86799,Iris pallida Lam.,,,Plantae,species
160883685,5779455,86559,"Arion lusitanicus J.Mabille, 1868",,,Animalia,species
160883691,5328972,86998,Sagittaria trifolia L.,,,Plantae,species
160883692,4559541,87032,"Sinanodonta woodiana (I.Lea, 1834)",,,Animalia,species
160883693,5329014,86997,Sagittaria subulata Buchenau,,,Plantae,species
160883695,5328909,86996,Sagittaria latifolia Willd.,,,Plantae,species
160883697,5328895,86995,Sagittaria lancifolia L.,,,Plantae,species
160883698,2288847,87072,"Teredo navalis Linnaeus, 1758",,,Animalia,species
160883701,7791733,86860,"Mya arenaria Linnaeus, 1758",,,Animalia,species
160883702,2867614,86811,Lemna minuta Kunth,,,Plantae,species
160883705,2287073,86697,"Dreissena bugensis (Andrusov, 1897)",,,Animalia,species
160883706,2865526,87093,Vallisneria spiralis L.,,,Plantae,species
160883708,2865448,86710,Elodea canadensis Michx.,,,Plantae,species
160883710,5329212,86711,Elodea nuttallii St.John,,,Plantae,species
160883711,8190231,86656,"Corbicula fluminea (O.F.MÃ¼ller, 1774)",,,Animalia,species
160883716,2766009,86856,Monochoria korsakowii Regel & Maack,,,Plantae,species
160883717,7820753,86828,"Magallana gigas (Thunberg, 1793)",,,Animalia,species
160883719,2286079,86667,"Crassostrea virginica (Gmelin, 1791)",,,Animalia,species
160883721,2765156,87077,Tradescantia fluminensis Vell.,,,Plantae,species
160883723,2764179,86652,Commelina communis L.,,,Plantae,species
160883724,6531311,86557,"Arcuatula senhousia (Benson, 1842)",,,Animalia,species
160883729,2701831,86804,Juncus dudleyi Wiegand,,,Plantae,species
160883730,6529629,86546,"Anadara kagoshimensis (Tokunaga, 1906)",,,Animalia,species
160883731,2702084,86805,Juncus tenuis Willd.,,,Plantae,species
160883735,2708744,86743,Fimbristylis bisumbellata Bubani,,,Plantae,species
160883737,2715219,86681,Cyperus odoratus L.,,,Plantae,species
160883739,2716226,86680,Cyperus esculentus L.,,,Plantae,species
160883740,2443002,87076,"Trachemys scripta (Thunberg In Schoepff, 1792)",,,Animalia,species
160883741,2731327,86646,Cladium mariscus (L.) Pohl,,,Plantae,species
160883746,5290052,87112,Zea mays L.,,,Plantae,species
160883747,2331942,87061,"Styela clava Herdman, 1881",,,Animalia,species
160883750,2704742,86513,Agropogon littoralis (Smith) C.E.Hubbard,201309775,Agropogon lutosus (Poir.) P.Fourn.,Plantae,species
160883751,2331498,86854,"Molgula manhattensis (De Kay, 1843)",,,Animalia,species
160883754,2703725,86600,Bromus willdenowii Kunth,201309771,Bromus catharticus Vahl,Plantae,species
160883758,4105658,87054,Sorghum sudanense (Piper) Stapf,201309769,Sorghum drummondii (Nees ex Steud.) Millsp. & Chase,Plantae,species
160883759,2433652,86870,"Neovison vison (Schreber, 1777)",,,Animalia,species
160883762,2434552,86876,"Nyctereutes procyonoides (Gray, 1834)",,,Animalia,species
160883763,2703015,87022,Setaria verticilliformis Dumort.,201309779,Setaria verticillata (L.) P.Beauv.,Plantae,species
160883765,2705181,87052,Sorghum bicolor (L.) Moench,,,Plantae,species
160883767,2705185,87053,Sorghum halepense Pers.,,,Plantae,species
160883768,4264680,86862,"Myocastor coypus (Molina, 1782)",,,Animalia,species
160883769,2703919,86993,Saccharum ravennae (L.) L.,,,Plantae,species
160883771,2705966,87013,Secale cereale L.,,,Plantae,species
160883772,5219858,86885,"Ondatra zibethicus (Linnaeus, 1766)",,,Animalia,species
160883773,5289698,87021,Setaria italica P.Beauv.,,,Plantae,species
160883775,5289666,87020,Setaria faberi R.A.W.Herrm.,,,Plantae,species
160883777,2436940,86888,"Oryctolagus cuniculus (Linnaeus, 1758)",,,Animalia,species
160883778,2705622,86909,Paspalum distichum L.,,,Plantae,species
160883780,5289744,86919,Phalaris canariensis L.,,,Plantae,species
160883782,2705090,86897,Panicum miliaceum L.,,,Plantae,species
160883783,5220136,86685,"Dama dama (Linnaeus, 1758)",,,Animalia,species
160883784,4125308,86898,Panicum schinzii Hack.,,,Plantae,species
160883785,2705162,86895,Panicum capillare L.,,,Plantae,species
160883787,2705144,86896,Panicum dichotomiflorum Michx.,,,Plantae,species
160883789,5290069,86903,Parapholis incurva (L.) C.E.Hubb.,,,Plantae,species
160883791,4129708,86820,Lolium multiflorum Lam.,,,Plantae,species
160883792,5212833,86941,"Polyodon spathula (Walbaum, 1792)",,,Animalia,species
160883793,8332019,86773,Hordeum distichon L.,,,Plantae,species
