taxonKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
163302597,166024,Aegilops tauschii Coss.,ACCEPTED,5289779,Aegilops tauschii Coss.,SPECIES,Plantae
163302598,166210,"Coraebus elatus (Fabricius, 1787)",ACCEPTED,4432427,"Coraebus elatus (Fabricius, 1787)",SPECIES,Animalia
163302599,166027,Agropyron fragile (Roth) P.Candargy,ACCEPTED,2705195,Agropyron fragile (Roth) P.Candargy,SPECIES,Plantae
163302601,166026,Agropyron desertorum Schult.,ACCEPTED,2705200,Agropyron desertorum (Fisch. ex Link) Schult.,SPECIES,Plantae
163302603,166029,Aira caryophyllea L.,ACCEPTED,7747216,Aira caryophyllea L.,SPECIES,Plantae
163302604,166368,"Ips amitinus Wood & Bright, 1992",ACCEPTED,5018748,"Ips amitinus Wood & Bright, 1992",SPECIES,Animalia
163302605,166035,Alopecurus myosuroides Huds.,ACCEPTED,5290097,Alopecurus myosuroides Huds.,SPECIES,Plantae
163302606,166608,"Rhinocyllus conicus (Froelich & J.A., 1792)",ACCEPTED,4291199,"Rhinocyllus conicus (J.A.Froelich, 1792)",SPECIES,Animalia
163302607,166072,Anthoxanthum aristatum Boiss.,ACCEPTED,2705972,Anthoxanthum aristatum Boiss.,SPECIES,Plantae
163302608,166513,"Otiorhynchus smreczynskii Cmoluch, 1968",ACCEPTED,4467405,"Otiorhynchus smreczynskii Cmoluch, 1968",SPECIES,Animalia
163302609,166141,Bromus squarrosus L.,ACCEPTED,2703700,Bromus squarrosus L.,SPECIES,Plantae
163302610,166251,"Dermestes undulatus Brahm, 1790",ACCEPTED,1095858,"Dermestes undulatus Brahms, 1790",SPECIES,Animalia
163302611,166139,Bromus oxyodon Schrenk,ACCEPTED,4122974,Bromus oxyodon Schrenk,SPECIES,Plantae
163302612,166248,"Dermestes ater De Geer, 1774",ACCEPTED,1095855,"Dermestes ater DeGeer, 1774",SPECIES,Animalia
163302613,166140,Bromus racemosus L.,ACCEPTED,2703764,Bromus racemosus L.,SPECIES,Plantae
163302614,166249,"Dermestes bicolor Fabricius, 1781",ACCEPTED,4427377,"Dermestes bicolor Fabricius, 1781",SPECIES,Animalia
163302615,166137,Bromus commutatus Schrad.,ACCEPTED,2703778,Bromus commutatus Schrad.,SPECIES,Plantae
163302616,166250,"Dermestes frischi Kugelann, 1792",ACCEPTED,1095854,"Dermestes frischi Kugelman, 1792",SPECIES,Animalia
163302617,166242,Cynodon dactylon (L.) Pers.,ACCEPTED,6109637,Cynodon dactylon (L.) Pers.,SPECIES,Plantae
163302619,166279,Eremopyrum triticeum (Gaertn.) Nevski,ACCEPTED,2704661,Eremopyrum triticeum (Gaertn.) Nevski,SPECIES,Plantae
163302620,166238,"Cybister lateralimarginalis (De Geer, 1774)",ACCEPTED,4470300,"Cybister lateralimarginalis (De Geer, 1774)",SPECIES,Animalia
163302621,166277,Eragrostis cilianensis (All.) Vignolo ex Janch.,ACCEPTED,2705369,Eragrostis cilianensis (All.) Vignolo ex Janch.,SPECIES,Plantae
163302623,166258,Digitaria ischaemum (Schreb.) Muhl.,ACCEPTED,5290003,Digitaria ischaemum (Schreb.) Muhl.,SPECIES,Plantae
