taxonID,taxonKey,scientificName,action,acceptedKey,accepted
31702,148741986,Allium porrum,scientificName_replaced_by_backbone_name,,
34047,148742004,"Vulpes fulvus (Desmarest, 1820)",merged_with_accepted,201357408,"Vulpes vulpes (Linnaeus, 1758)"
31701,148742009,Allium paradoxum G.Don,scientificName_replaced_by_backbone_name,,
33096,148742010,"Mustela vison Schreber, 1777",merged_with_accepted,201357414,"Neovison vison (Schreber, 1777)"
32363,148742032,Cyperus ovularis,scientificName_replaced_by_backbone_name,,
32747,148742061,Holcus setiglumis Boiss. & Reut.,merged_with_accepted,201357521,Holcus annuus Salzm. ex C.A.Mey.
32937,148742063,Lolium rigidum subsp. lepturoides (Fiori & Paoli) Sennen & Mauricio,merged_with_accepted,201357600,Incertae sedis
33393,148742068,Piptatherum miliaceum (L.) Coss.,merged_with_accepted,201357628,Achnatherum miliaceum P.Beauv.
33420,148742073,Poa trivialis subsp. sylvicola (Guss.) H.Lindb.,merged_with_accepted,201357552,Incertae sedis
33572,148742077,Rostraria phleoides (Desf.) Holub,merged_with_accepted,201357650,Rostraria hispida (Savi) M.Doğan
33700,148742081,Setaria pumila (Poir.) Roem. & Schult.,merged_with_accepted,201357648,Setaria helvola Roem. & Schult.
33784,148742087,Spartina alterniflora Loisel.,merged_with_accepted,201357644,Sporobolus alterniflorus (Loisel.) P.M.Peterson & Saarela
32252,148742092,"Columba livia Gmelin, 1789",scientificName_replaced_by_backbone_name,,
33731,148742093,Sinarundinaria nitida (Mitford) Nakai,merged_with_accepted,201357598,Fargesia nitida Keng f. ex T.P.Yi
33786,148742097,Spartina anglica C.E.Hubb.,merged_with_accepted,201357574,Sporobolus anglicus (C.E.Hubb.) P.M.Peterson & Saarela
32247,148742098,"Colinus virginianus (Wetmore, 1962)",scientificName_replaced_by_backbone_name,,
33787,148742100,Spartina pectinata Bosc ex Link,merged_with_accepted,201357602,Sporobolus michauxianus (Hitchc.) P.M.Peterson & Saarela
33821,148742105,Stipa hyalina Nees,merged_with_accepted,201357605,Nassella hyalina (Nees) Barkworth
33954,148742113,Trisetum paniceum (Lam.) Pers.,merged_with_accepted,201357544,Trisetaria panicea (Lam.) Paunero
31803,148742114,"Anser caerulescens (Linnaeus, 1758)",merged_with_accepted,201357439,"Chen caerulescens Linnaeus, 1758"
33992,148742116,Ventenata dubia Coss. & Durieu,scientificName_replaced_by_backbone_name,,
33230,148742117,"Oxyura jamaicensis (Gmelin, 1789)",scientificName_replaced_by_backbone_name,,
33979,148742118,Urochloa panicoides Beauverd,scientificName_replaced_by_backbone_name,,
