taxonID,taxonKey,scientificName,action,acceptedKey,accepted
90073,160880712,Medicago romanica,merged_with_accepted,201312008,Medicago falcata L.
89534,160880715,"Ahasverus advena (Waltl, 1834)",scientificName_replaced_by_backbone_name,,
90074,160880718,Medicago sativa subsp. caerulea,merged_with_accepted,201312020,Medicago sativa L.
89505,160880720,"Ablattaria laevigata (Fabricius, 1775)",merged_with_accepted,201311530,"Silpha laevigata Fabricius, 1775"
90070,160880723,Medicago denticulata,merged_with_accepted,201312023,Medicago polymorpha L.
89689,160880726,"Bruchus pisorum (Linnaeus, 1758)",scientificName_replaced_by_backbone_name,,
90481,160880729,Vicia ervilia Willd.,scientificName_replaced_by_backbone_name,,
89707,160880736,Caragana frutex K.Koch,scientificName_replaced_by_backbone_name,,
90071,160880751,Medicago laciniata Mill.,scientificName_replaced_by_backbone_name,,
90076,160880752,Medicago varia Martyn,scientificName_replaced_by_backbone_name,,
90208,160880761,Pisum sativum subsp. arvense (L.) Asch. & Graebn.,merged_with_accepted,160880760,Pisum sativum L.
90294,160880763,Robinia luxurians Rydb.,scientificName_replaced_by_backbone_name,,
90451,160880765,Trigonella caerulea Ser.,scientificName_replaced_by_backbone_name,,
90477,160880773,Vicia angustifolia ssp. segetalis,merged_with_accepted,160880772,Vicia sativa L.
89593,160880782,Aralia mandschurica Seem.,merged_with_accepted,201311833,Aralia elata (Miq.) Seem.
89864,160880783,Eleutherococcus senticosus Maxim.,scientificName_replaced_by_backbone_name,,
89579,160880786,Anthriscus fumarioides,merged_with_accepted,201311838,Anthriscus sylvestris (L.) Hoffm.
89884,160880788,Eryngium planum Lapeyr.,merged_with_accepted,201311840,Eryngium bourgatii subsp. Bourgatii
90103,160880792,Myrrhis odorata Scop.,scientificName_replaced_by_backbone_name,,
89952,160880796,Heracleum pubescens M.Bieb.,scientificName_replaced_by_backbone_name,,
89828,160880802,Daucus carota subsp. sativus (Hoffm.) SchÃ¼bl. & Martens,not_matched_with_backbone,,
89578,160880813,Anthriscus cerefolium Hoffm.,scientificName_replaced_by_backbone_name,,
89568,160880819,Amsinckia micrantha Suksdorf,merged_with_accepted,201312043,Amsinckia menziesii (Lehm.) A.Nels.Macbr.
90120,160880821,Nonea pulla DC.,scientificName_replaced_by_backbone_name,,
90102,160880824,Myosotis sylvatica Hoffm.,scientificName_replaced_by_backbone_name,,
89691,160880825,Brunnera macrophylla I.M.Johnst.,scientificName_replaced_by_backbone_name,,
90233,160880832,Portulaca oleracea subsp. sativa (Haw.) SchÃ¼bler & Martens,not_matched_with_backbone,201311575,Portulaca sativa Haw.
89902,160880836,Fallopia sachalinensis,merged_with_accepted,201311657,Reynoutria sachalinensis Nakai
89901,160880838,Fallopia japonica,merged_with_accepted,201311661,Reynoutria japonica Houtt.
90217,160880840,Polygonum rurivagum,merged_with_accepted,201311665,Polygonum aviculare L.
90218,160880842,Polygonum weyrichii,merged_with_accepted,201311662,"Aconogonon weyrichii, Persicaria weyrichii, Pleuropteropyrum weyrichii"
90213,160880844,Polygonum alpinum,not_matched_with_backbone,201311669,"Aconogonon alpinum, Persicaria alpina"
90152,160880853,Oxyria digyna Hill,scientificName_replaced_by_backbone_name,,
89898,160880855,Fagopyrum tataricum Gaertn.,scientificName_replaced_by_backbone_name,,
89809,160880861,Cucubalus baccifer L.,merged_with_accepted,201311584,Silene baccifera Roth
89835,160880863,Dianthus fischeri Spreng.,merged_with_accepted,201311590,Dianthus chinensis L.
90048,160880865,Lychnis chalcedonica,merged_with_accepted,201311579,Silene chalcedonica E.H.L.Krause
90049,160880867,Lychnis coronaria,not_matched_with_backbone,201311587,Silene coronaria (L.) Clairv.
90465,160880868,Vaccaria hispanica (Miller) Rauschert,scientificName_replaced_by_backbone_name,,
90176,160880872,Petrorhagia saxifraga Link,scientificName_replaced_by_backbone_name,,
90395,160880882,Suaeda salsa Pall.,merged_with_accepted,201311607,Suaeda maritima ssp. salsa
90318,160880884,Salsola kali ssp. ruthenica,merged_with_accepted,201311612,Kali tragus Scop.
90317,160880886,Salsola collina Pall.,merged_with_accepted,201311649,Kali collina (Pall.) Akhani & Roalson
89645,160880888,Bassia eriantha Kuntze,merged_with_accepted,201311608,Londesia eriantha
89646,160880890,Bassia hirsuta (L.) Ascherson,merged_with_accepted,201311600,Spirobassia hirsuta (L.) Freitag & G.Kadereit
89627,160880892,Atriplex patens (Litv.) Iljin,merged_with_accepted,201311642,Atriplex laevis C.A.Mey.
89650,160880894,Bassia sedoides (Pall.) Ascherson,merged_with_accepted,201311623,Sedobassia sedoides (Pall.) Freitag & G.Kadereit
89558,160880896,Amaranthus paniculatus,not_matched_with_backbone,201311616,Amaranthus cruentus
89557,160880898,Amaranthus hybridus subsp. cruentus (L.) Thell.,merged_with_accepted,201311631,Amaranthus cruentus L.
89781,160880900,Corispermum leptopterum,merged_with_accepted,201311636,Corispermum pallasii Steven
89742,160880902,Chenopodium berlandieri subsp. zschackei (Murr) A.Zobel,merged_with_accepted,201311594,Chenopodium berlandieri Moq.
89741,160880904,Chenopodium aristatum,merged_with_accepted,201311633,Dysphania aristata (L.) Mosyakin & Clemants
89744,160880906,Chenopodium capitatum Wats.,merged_with_accepted,201311619,Chenopodium capitatum Wats. ex Britton
89743,160880908,Chenopodium botrys,merged_with_accepted,201311638,Dysphania botrys (L.) Mosyakin & Clemants
89747,160880910,Chenopodium foliosum (Moench) Ascherson,merged_with_accepted,201311646,Blitum virgatum L.
89745,160880912,Chenopodium chenopodioides (L.) Aellen,merged_with_accepted,201311598,"Oxybasis chenopodioides (L.) S.Fuentes, Uotila & Borsch"
89750,160880914,Chenopodium schraderanum,not_matched_with_backbone,201311605,Dysphania schraderiana (Schult.) Mosyakin & Clemants
90394,160880916,Suaeda corniculata Bunge,scientificName_replaced_by_backbone_name,,
90392,160880917,Suaeda altissima Pall.,scientificName_replaced_by_backbone_name,,
89556,160880922,Amaranthus hybridus,scientificName_replaced_by_backbone_name,,
89560,160880924,Amaranthus thellungianus Nevski,merged_with_accepted,160880923,Amaranthus graecizans L.
89629,160880926,Atriplex sagittata Bkh.,not_matched_with_backbone,,
89625,160880933,Atriplex megalotheca M.Pop.,merged_with_accepted,160880932,Atriplex centralasiatica Iljin
89647,160880938,Bassia hyssopifolia Kuntze,scientificName_replaced_by_backbone_name,,
89740,160880941,Chenopodium ambrosioides,not_matched_with_backbone,,
89780,160880946,Corispermum declinatum Steph. ex Steven,scientificName_replaced_by_backbone_name,,
90393,160880952,Suaeda baccifera,scientificName_replaced_by_backbone_name,,
90430,160880961,Thlaspi perfoliatum L.,merged_with_accepted,201311766,Microthlaspi perfoliatum (L.) F.K.Mey.
90429,160880963,Thlaspi caerulescens J.Presl & C.Presl,merged_with_accepted,201311733,Noccaea caerulescens subsp. Caerulescens
89709,160880965,Cardaria draba (L.) Desv.,merged_with_accepted,201311732,Lepidium draba L.
89591,160880967,Arabis pendula Lachen. ex Rchb.,merged_with_accepted,201311780,Pseudoturritis turrita (L.) Al-Shehbaz
89787,160880969,Coronopus squamatus (Forssk.) Asch.,merged_with_accepted,201311736,Lepidium coronopus (L.) Al-Shehbaz
89961,160880971,Hirschfeldia incana (L.) Lagr.-Foss.,merged_with_accepted,201311775,Sinapis incana L.
90068,160880973,Matthiola longipetala subsp. bicornis (Sm.) P.W.Ball,merged_with_accepted,201311773,Matthiola longipetala (Vent.) DC.
90278,160880976,Rapistrum perenne All.,scientificName_replaced_by_backbone_name,,
89673,160880985,Brassica rapa subsp. chinensis (L.) P.Hanelt,scientificName_replaced_by_backbone_name,,
89702,160880993,Camelina sativa Crantz,scientificName_replaced_by_backbone_name,,
89771,160880995,Conringia orientalis Dumort.,scientificName_replaced_by_backbone_name,,
89754,160880996,Chorispora tenella DC.,scientificName_replaced_by_backbone_name,,
89845,160881000,Diplotaxis muralis DC.,scientificName_replaced_by_backbone_name,,
89903,160881001,Fibigia clypeata Medik.,scientificName_replaced_by_backbone_name,,
89883,160881005,Erucastrum gallicum O.E.Schulz,scientificName_replaced_by_backbone_name,,
90258,160881035,Prunus mahaleb L.,merged_with_accepted,201311948,Incertae sedis
89725,160881036,Cerasus mahaleb,merged_with_accepted,201311948,Incertae sedis
90356,160881038,Sibiraea altaiensis (Laxm.) Schneider,merged_with_accepted,201311959,Sibiraea laevigata Maxim.
90385,160881040,Spiraea menziesii Hook.,merged_with_accepted,201311958,Spiraea douglasii Hook.
90303,160881042,Rosa pimpinellifolia,not_matched_with_backbone,201311982,Rosa spinosissima
90304,160881044,Rosa pomifera,merged_with_accepted,201311973,Rosa villosa L.
90329,160881046,Sanguisorba minor subsp. minor,merged_with_accepted,201311968,Poterium sanguisorba L.
90328,160881047,Sanguisorba minor ssp. muricata,merged_with_accepted,201311968,Poterium sanguisorba L.
89600,160881049,Aronia prunifolia (Marsh.) Rehd.,merged_with_accepted,201311964,Photinia floribunda (Lindl.) K.R.Robertson & J.B.Phipps
89856,160881051,Duchesnea indica,merged_with_accepted,201311979,Potentilla indica (Andrews) T.Wolf
90255,160881053,Prunus cerasus L.,merged_with_accepted,201311954,Prunus avium (L.) L.
89724,160881054,Cerasus avium,merged_with_accepted,201311954,Prunus avium (L.) L.
89726,160881056,Cerasus tomentosa,merged_with_accepted,201311950,Prunus tomentosa C.P.Thunb. ex A.Murray
90056,160881058,Malus domestica,merged_with_accepted,201311988,Malus pumila Mill.
90238,160881060,Potentilla bifurca,merged_with_accepted,201311985,Sibbaldianthe bifurca (L.) Kurtto & T.Erikss.
90254,160881062,Prunus cerasifera var. divaricata (Ledeb.) L.H.Bailey,merged_with_accepted,201311960,Prunus cerasifera Ehrh.
90260,160881064,Prunus tenella Batsch,merged_with_accepted,201311969,Amygdalus nana
90239,160881066,Potentilla canescens Besser,merged_with_accepted,201311961,Potentilla inclinata Vill.
90240,160881068,Potentilla goldbachii (Rupr.) Rupr.,merged_with_accepted,201311975,Potentilla thuringiaca Bernh. ex Link
90173,160881070,Persica vulgaris,merged_with_accepted,201311986,Prunus persica Stokes
90306,160881073,Rosa virginiana J.Herrmann,scientificName_replaced_by_backbone_name,,
90300,160881075,Rosa glabrifolia Rupr.,scientificName_replaced_by_backbone_name,,
90383,160881084,Spiraea latifolia Borkh.,scientificName_replaced_by_backbone_name,,
89565,160881085,Amelanchier alnifolia Nutt.,scientificName_replaced_by_backbone_name,,
89566,160881086,Amelanchier spicata K.Koch,scientificName_replaced_by_backbone_name,,
89599,160881087,Aronia melanocarpa Nutt. ex Elliott,scientificName_replaced_by_backbone_name,,
89799,160881096,Crataegus laevigata DC.,scientificName_replaced_by_backbone_name,,
89796,160881099,Cotoneaster nebrodensis K.Koch,scientificName_replaced_by_backbone_name,,
89905,160881102,Fragaria ananassa (Weston) Duchesne ex Rozier,scientificName_replaced_by_backbone_name,,
90242,160881103,Potentilla rupestris,not_matched_with_backbone,,
89597,160881108,Armeniaca vulgaris,merged_with_accepted,160881107,Prunus armeniaca L.
90387,160881114,Spiraea xbillardii HÃ©rincq,not_matched_with_backbone,,
90382,160881115,Spiraea henryi Hemsl. ex Forb. & Hemsl.,scientificName_replaced_by_backbone_name,,
90384,160881117,Spiraea media F.Schmidt,scientificName_replaced_by_backbone_name,,
90143,160881129,Orobanche ramosa Smith,merged_with_accepted,201312062,Phelipanche ramosa Pomel
90142,160881131,Orobanche purpurea Raf.,merged_with_accepted,201312061,Orobanche variegata Wallr.
90088,160881136,Mimulus moschatus Douglas ex Lindl.,merged_with_accepted,201312059,Erythranthe moschata (Douglas ex Lindl.) G.L.Nesom
90087,160881138,Mimulus guttatus Fisch. ex DC.,merged_with_accepted,201312058,Erythranthe guttata (DC.) G.L.Nesom
90022,160881142,Ligustrum vulgare L.,merged_with_accepted,160881141,Syringa vulgaris L.
89904,160881143,Forsythia suspensa Vahl,scientificName_replaced_by_backbone_name,,
